date,open,high,low,close,volume
2010-01-04,122.3900,122.4100,122.3300,122.3400,13431500
2010-01-05,122.3500,122.3500,122.2800,122.2800,42565700
2010-01-06,122.3000,122.3200,122.2800,122.3200,22209000
2010-01-07,122.3300,122.3400,122.3100,122.3100,41977600
2010-01-08,122.3200,122.3200,122.3000,122.3200,22102100
2010-01-11,122.3500,122.3500,122.3100,122.3400,8984700
2010-01-12,122.3400,122.3600,122.3300,122.3400,27657900
2010-01-13,122.3500,122.3500,122.3200,122.3400,17277400
2010-01-14,122.3600,122.3600,122.3100,122.3400,25846300
2010-01-15,122.3400,122.3400,122.2500,122.3400,16243900
2010-01-18,122.3700,122.3700,122.3400,122.3600,4765300
2010-01-19,122.3700,122.4500,122.3700,122.4500,11812000
2010-01-20,122.4600,122.4600,122.3300,122.3400,35413800
2010-01-21,122.3500,122.4600,122.3200,122.4600,29971500
2010-01-22,122.4700,122.5000,122.1300,122.4900,28213700
2010-01-25,122.5200,122.5300,122.4600,122.4900,21104400
2010-01-26,122.5000,122.5100,122.3600,122.4900,25919900
2010-01-27,122.5000,122.5400,122.4800,122.5400,18751000
2010-01-28,122.5500,122.6600,122.5400,122.6600,32083400
2010-01-29,122.6700,122.6700,122.5500,122.5900,27602500
2010-02-01,122.6200,122.8800,122.6100,122.7600,38210200
2010-02-02,122.7700,122.8000,122.7400,122.7700,56147000
2010-02-03,122.7800,122.8500,122.7700,122.7900,28899100
2010-02-04,122.8000,122.8700,122.7600,122.8700,26236800
2010-02-05,122.8800,123.4900,122.8800,123.4600,52656200
2010-02-08,123.4900,123.6100,123.4700,123.5600,27132200
2010-02-09,123.5800,123.6100,123.5500,123.6000,35130900
2010-02-10,123.6100,123.6300,123.5600,123.5700,24469900
2010-02-11,123.5800,123.5800,123.4700,123.5000,27327200
2010-02-12,123.5100,123.5200,123.5000,123.5200,19076700
2010-02-22,123.6300,123.6300,123.5300,123.5700,34718700
2010-02-23,123.5700,123.7100,123.5500,123.6800,30375800
2010-02-24,123.7000,123.7000,123.6700,123.7000,34411900
2010-02-25,123.7100,123.7300,123.7000,123.7300,26550200
2010-02-26,123.7400,123.8100,123.6100,123.7600,48945600
2010-03-01,123.7900,123.8100,123.7200,123.8000,16207200
2010-03-02,123.8100,123.8900,123.4800,123.8800,22750000
2010-03-03,123.8900,123.9000,123.8300,123.8600,49360500
2010-03-04,123.8700,123.8800,123.7400,123.8600,19984900
2010-03-05,123.8700,123.9300,123.8400,123.8500,30831700
2010-03-08,123.8900,123.9100,123.8600,123.9000,21147700
2010-03-09,123.9100,124.0100,123.8600,123.8600,39243500
2010-03-10,123.8700,123.8700,123.8500,123.8600,31381700
2010-03-11,123.8700,123.9200,123.8700,123.9000,29328900
2010-03-12,123.9100,123.9200,123.8800,123.9000,22897700
2010-03-15,123.9400,123.9600,123.8200,123.9600,21024600
2010-03-16,123.9700,124.1400,123.9600,124.1300,42808400
2010-03-17,124.1400,124.1600,124.1000,124.1300,26746900
2010-03-18,124.1400,124.2000,124.1000,124.1700,27478000
2010-03-19,124.1800,124.3500,124.1000,124.2100,27331600
2010-03-22,124.2400,124.2800,124.2100,124.2800,30142700
2010-03-23,124.2900,124.3200,124.1100,124.3100,26349800
2010-03-24,124.3200,124.9300,124.2100,124.9300,15791400
2010-03-25,124.9400,124.9700,124.9400,124.9600,19028500
2010-03-26,124.9700,124.9800,124.2700,124.2900,41946500
2010-03-29,124.3200,124.3200,124.2000,124.2400,56655000
2010-03-30,124.2500,124.3100,124.2100,124.2900,47637100
2010-03-31,124.3000,124.3400,124.2700,124.3400,54789600
2010-04-01,124.3500,124.3500,124.2900,124.3200,40822100
2010-04-02,124.3300,124.3300,124.2700,124.2800,62319800
2010-04-06,124.3300,124.3300,124.2500,124.2900,32921900
2010-04-07,124.3000,124.3000,124.2500,124.2700,64343000
2010-04-08,124.2800,124.7400,124.2700,124.6300,15036200
2010-04-09,124.6400,124.6400,124.2600,124.3300,21316000
2010-04-12,124.3600,124.3700,124.2400,124.3500,21575200
2010-04-13,124.3600,124.3600,124.2400,124.2800,37276500
2010-04-14,124.3000,124.3000,124.2800,124.2800,16866700
2010-04-15,124.2900,124.3200,124.2000,124.2000,12454000
2010-04-16,124.2100,124.3400,124.2000,124.3400,28758500
2010-04-19,124.3700,124.3700,124.3100,124.3400,44530100
2010-04-20,124.3500,124.5900,124.3400,124.4200,26527300
2010-04-21,124.4600,124.4800,124.4200,124.4300,31063500
2010-04-22,124.4400,124.4800,124.3700,124.3700,32061000
2010-04-23,124.3800,124.4300,124.3300,124.4300,43383400
2010-04-26,124.4600,124.5800,124.4500,124.5400,35690700
2010-04-27,124.5600,124.6200,124.5400,124.5700,46928900
2010-04-28,124.5800,124.6100,124.5700,124.6000,41923100
2010-04-29,124.6100,124.6600,124.5700,124.6600,17012300
2010-04-30,124.6700,124.6700,124.5700,124.6700,27465300
2010-05-04,124.7100,124.7100,124.5000,124.6400,22876500
2010-05-05,124.6500,124.7600,124.6300,124.7600,33488400
2010-05-06,124.7700,124.8000,124.7200,124.7900,66546800
2010-05-07,124.8000,124.9100,124.7500,124.9100,101140900
2010-05-10,124.9400,124.9700,124.9200,124.9200,54915400
2010-05-11,124.9300,124.9400,124.8800,124.9400,60378200
2010-05-12,124.9500,125.0000,124.9300,124.9900,29318700
2010-05-13,125.0100,125.0100,124.9400,124.9500,55447900
2010-05-14,124.9600,124.9800,124.9400,124.9800,53566800
2010-05-17,125.0200,125.1700,124.9700,125.1700,69106700
2010-05-18,125.1800,125.3300,125.1000,125.1100,66279500
2010-05-19,125.1200,125.1800,125.1000,125.1800,53478000
2010-05-20,125.2000,125.3300,125.2000,125.2500,26839500
2010-05-21,125.2700,125.3400,125.2500,125.3200,25191100
2010-05-24,125.3500,125.3500,125.2400,125.3100,87961300
2010-05-25,125.3200,125.3700,125.1100,125.3700,67232300
2010-05-26,125.3800,125.3900,125.3600,125.3800,15769700
2010-05-27,125.3900,125.3900,125.2700,125.3600,29716100
2010-05-28,125.3700,125.6500,125.3300,125.4000,23164800
2010-05-31,125.4400,125.4400,125.3500,125.3800,18820200
2010-06-01,125.4000,125.4200,125.3400,125.3600,26556200
2010-06-02,125.3800,125.3800,125.2600,125.3100,62152900
2010-06-03,125.3200,125.3600,125.3100,125.3600,111706900
2010-06-04,125.3700,125.3700,125.3000,125.3100,74709000
2010-06-07,125.3400,125.4600,125.3300,125.4600,34132400
2010-06-08,125.4700,125.4700,125.4100,125.4200,18182800
2010-06-09,125.4300,125.4300,125.3300,125.3800,38555000
2010-06-10,125.3900,125.4100,125.2200,125.3400,60003700
2010-06-11,125.3500,125.3600,125.3100,125.3500,34620200
2010-06-17,125.4200,125.4400,125.2100,125.3300,12446100
2010-06-18,125.3400,125.3500,125.3100,125.3500,29304000
2010-06-21,125.3800,125.4400,125.3700,125.4400,40283000
2010-06-22,125.4500,125.4700,125.4000,125.4000,10499600
2010-06-23,125.4100,125.4500,125.3300,125.4400,20762100
2010-06-24,125.4600,125.4600,125.4000,125.4300,22281900
2010-06-25,125.4500,125.5300,125.3800,125.5300,30939700
2010-06-28,125.5700,125.5700,125.5500,125.5700,25910000
2010-06-29,125.5900,125.6200,125.5700,125.6000,74150900
2010-06-30,125.6300,125.6700,125.5900,125.6600,55755300
2010-07-01,125.6700,125.7000,125.6200,125.6300,38756000
2010-07-02,125.6400,125.6600,125.6000,125.6200,54059900
2010-07-05,125.6500,125.6600,125.6300,125.6500,28490000
2010-07-06,125.6600,125.9600,125.6400,125.8000,15900600
2010-07-07,125.8100,125.8700,125.5700,125.7500,27940700
2010-07-08,125.7600,126.0200,125.7000,125.8300,22498600
2010-07-09,125.8400,125.8800,125.4700,125.5100,23664500
2010-07-12,125.5500,126.0700,125.5300,126.0700,41752800
2010-07-13,126.0800,126.0900,126.0600,126.0800,46635600
2010-07-14,126.0900,126.1500,126.0700,126.1400,24630300
2010-07-15,126.1500,126.1600,126.0800,126.1000,28532900
2010-07-16,126.1100,126.2000,126.0700,126.1800,33384700
2010-07-19,126.2200,126.2200,126.1300,126.1800,34455900
2010-07-20,126.1900,126.2000,126.1300,126.1500,43437700
2010-07-21,126.1600,126.1600,126.1300,126.1600,31442000
2010-07-22,126.1800,126.3500,126.0800,126.1400,32230200
2010-07-23,126.1600,126.1700,126.1300,126.1600,40656500
2010-07-26,126.2000,126.2000,126.1500,126.1700,25606700
2010-07-27,126.1800,126.1800,126.0600,126.0700,40140500
2010-07-28,126.0800,126.1000,126.0800,126.0800,52084300
2010-07-29,126.0900,126.0900,126.0500,126.0600,26747900
2010-07-30,126.0700,126.0700,125.9800,125.9900,39639100
2010-08-02,126.0400,126.1000,126.0300,126.0900,20263800
2010-08-03,126.1000,126.1100,126.0700,126.1000,29123200
2010-08-04,126.1200,126.4100,126.1000,126.4100,37475400
2010-08-05,126.4200,126.4600,126.4000,126.4600,71194900
2010-08-06,126.4700,126.5000,126.4400,126.4600,61384000
2010-08-09,126.5000,126.5000,126.4600,126.4900,24862800
2010-08-10,126.5000,126.5000,126.4700,126.4800,17889100
2010-08-11,126.4900,126.6600,126.3700,126.4400,27932700
2010-08-12,126.4600,126.5400,126.3600,126.4500,44325400
2010-08-13,126.4700,126.4700,126.4100,126.4100,27507200
2010-08-16,126.4400,127.1000,126.3800,126.5200,24900900
2010-08-17,126.5300,126.6000,126.4700,126.6000,16121600
2010-08-18,126.6100,126.6200,126.6000,126.6200,17177900
2010-08-19,126.6400,126.6400,126.5000,126.6200,8023100
2010-08-20,126.6300,126.6300,126.5300,126.6100,15887400
2010-08-23,126.6500,126.6700,126.6300,126.6400,15895000
2010-08-24,126.6500,126.7000,126.6000,126.6000,40605600
2010-08-25,126.6100,126.6200,126.5200,126.6100,32132200
2010-08-26,126.6200,126.6400,126.3400,126.5700,14744800
2010-08-27,126.5900,126.6300,126.5400,126.6300,29361200
2010-08-30,126.6600,126.6600,126.5800,126.5900,26778000
2010-08-31,126.6000,126.6300,126.5900,126.6200,9722300
2010-09-01,126.6400,126.6500,126.5900,126.6400,16337600
2010-09-02,126.6500,126.6500,126.5300,126.6000,17094300
2010-09-03,126.6200,126.6800,126.5800,126.6800,38089700
2010-09-06,126.7200,126.7700,126.7200,126.7300,24192200
2010-09-07,126.7500,126.7600,126.6900,126.7400,16050900
2010-09-08,126.7600,126.8000,126.7400,126.7500,17775300
